code,name,city,country,timezone,city_code
AIT,Aitutaki Airport,,CK,Pacific/Rarotonga,AIT
AIU,Atiu Island,,CK,Pacific/Rarotonga,AIU
AIV,George Downer,Aliceville,US,America/Chicago,AIV
AIW,Ai-ais,,NA,Africa/Windhoek,AIW
AIY,Bader Field,,US,America/New_York,AIY
AIZ,Lee C Fine Memorial,,US,America/Chicago,AIZ
AJA,Ajaccio Napoleon Bonaparte Airport,Ajaccio,FR,Europe/Paris,AJA
AJF,Jouf Airport,Sakaka,SA,Asia/Riyadh,AJF
AJI,Agri Airport,Hamur,TR,Europe/Istanbul,AJI
AJJ,Akjoujt,Akjoujt,MR,Africa/Nouakchott,AJJ
AJK,Araak,Arak,IR,Asia/Tehran,AJK
AJL,Aizawl Airport,Sairang,IN,Asia/Kolkata,AJL
AJN,Ouani,Ouani,KM,Indian/Comoro,AJN
AJR,Arvidsjaur Airport,Arvidsjaur,SE,Europe/Stockholm,AJR
AJS,Abreojos,Bahia Asuncion,MX,America/Mazatlan,AJS
AJU,Aracaju Airport,Aracaju,BR,America/Maceio,AJU
AJY,Agades,Agadez,NE,Africa/Niamey,AJY
AKA,Ankang,Ankang,CN,Asia/Chongqing,AKA
AKB,Atka,,US,America/Adak,AKB
AKC,Fulton International,Sawyerwood,US,America/New_York,CAK
AKD,Akola,Akola,IN,Asia/Kolkata,AKD
AKE,Akieni,,GA,Africa/Libreville,AKE
AKF,Kufrah,Al Jawf,LY,Africa/Tripoli,AKF
AKG,Anguganak,,PG,Pacific/Port_Moresby,AKG
AKH,Prince Sultan Air Base,Ad Dilam,SA,Asia/Riyadh,AKH
AKI,Akiak,,US,America/Anchorage,AKI
AKJ,Asahikawa Airport,Asahikawa,JP,Asia/Tokyo,AKJ
AKK,Akhiok SPB,,US,America/Anchorage,AKK
AKL,Auckland Airport,Mangere,NZ,Pacific/Auckland,AKL
AKM,Zakouma,,TD,Africa/Ndjamena,AKM
AKN,King Salmon Airport,,US,America/Anchorage,AKN
AKO,Colorado Plains Regional Airport,Akron,US,America/Denver,AKO
AKP,Anaktuvuk,,US,America/Anchorage,AKP
AKQ,Gunung Batin,Menggala,ID,Asia/Jakarta,AKQ
AKR,Akure,Owena,NG,Africa/Lagos,AKR
AKS,Gwaunaru'u,,SB,Pacific/Guadalcanal,AKS
AKT,Raf Akrotiri,Kolossi,CY,Asia/Nicosia,AKT
AKU,Aksu Airport,,CN,Asia/Shanghai,AKU
AKV,Akulivik,,CA,America/Iqaluit,AKV
AKW,Aghajari,Omidiyeh,IR,Asia/Tehran,AKW
AKX,Aktyubinsk Airport,Aqtobe,KZ,Asia/Aqtobe,AKX
AKY,Civil Airport,,MM,Asia/Rangoon,AKY
ALA,Almaty Airport,Pervomayskiy,KZ,Asia/Almaty,ALA
ALB,Albany International Airport,Colonie,US,America/New_York,ALB
ALC,Alicante-Elche Airport,,ES,Europe/Madrid,ALC
ALD,Alerta,,PE,America/Lima,ALD
ALE,Alpine,Alpine,US,America/Chicago,ALE
ALF,Alta Airport,Alta,NO,Europe/Oslo,ALF
ALG,Houari Boumediene Airport,Dar el Beida,DZ,Africa/Algiers,ALG
ALH,Albany Airport,Albany,AU,Australia/Perth,ALH
ALI,International,Alice,US,America/Chicago,ALI
ALJ,Alexander Bay Airport,,ZA,Africa/Johannesburg,ALJ
ALK,Asela,Huruta,ET,Africa/Addis_Ababa,ALK
ALL,Albenga,Albenga,IT,Europe/Rome,ALL
ALM,Municipal,Boles Acres,US,America/Denver,ALM
ALN,Alton,Bethalto,US,America/Chicago,ALN
ALO,Waterloo Airport,Cedar Falls,US,America/Chicago,ALO
ALP,Nejrab,Aleppo,SY,Asia/Damascus,ALP
ALQ,Federal,Alegrete,BR,America/Sao_Paulo,ALQ
ALR,Alexandra,,NZ,Pacific/Auckland,ALR
ALS,Alamosa Municipal Airport,Alamosa,US,America/Denver,ALS
